timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-10-09T11:40:34,codecarbon,20615a9a-62d8-4e63-9517-b6f53ca9ebc4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,28.18811462499434,5.058194624408448e-05,1.7944423356088376e-06,1.2808000000000002,0.0136,3.0,4.833101996547568e-06,4.830202763232841e-05,1.8430504687469995e-05,7.156563431634596e-05,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T11:41:48,codecarbon,db8c2e17-5a8e-43c9-944a-0a0ffc119146,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,71.7591934580123,0.0001619143221958,2.256356494454853e-06,0.327,0.0019,3.0,1.4682882741190814e-05,0.0001679013100749,4.6499542256691104e-05,0.0002290837350727,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T11:43:10,codecarbon,7603f5f1-f7dd-41b2-ad3f-6ecf2538341e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,77.61960408301093,0.000149487453668,1.925898172685695e-06,0.8244999999999999,0.0,3.0,9.243380820777993e-06,0.0001516480694831,5.061018691000451e-05,0.0002115016372139,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T11:58:10,codecarbon,57185c58-2f14-48f5-912e-3667ac944f3e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,24.79055466601858,4.919031120686304e-05,1.9842360072035906e-06,0.4265,1.3361000000000005,3.0,4.472900274492381e-06,4.965061879631397e-05,1.5473166805022627e-05,6.959668587582898e-05,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T11:59:29,codecarbon,a7395d83-e7cc-449e-82bc-627fe2e3c35a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,76.93463529099245,0.0001730976890599,2.249931885752806e-06,1.1613,0.0038,3.0,1.8210033791051232e-05,0.0001754184273916,5.1278009131638106e-05,0.0002449064703143,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T12:00:53,codecarbon,a93e35d3-bd0c-4c19-99ee-c20f77fe69c5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,79.50301083299564,0.0001826112563739,2.296909946687589e-06,2.3291000000000004,0.0,3.0,3.2903495551251096e-05,0.0001628970105314,6.25661912492069e-05,0.0002583666973319,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T12:01:28,codecarbon,c4b9a38d-0b0b-4d21-8a26-70309f7b94d9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.48802112496924,5.70768846229041e-05,1.7568593791339498e-06,0.4545999999999999,0.5175000000000001,3.0,6.625792565672087e-06,5.223180815832839e-05,2.189736732582484e-05,8.075496804982532e-05,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T12:02:10,codecarbon,4abb286a-60c9-4b97-8b23-9a866cc29522,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,37.86910445796093,8.341454984966211e-05,2.202707221192988e-06,0.9693,0.0038,3.0,4.727300172894694e-06,8.998540633693448e-05,2.330598621498211e-05,0.0001180186927248,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T12:02:44,codecarbon,068062cf-26fd-4274-8f17-9968a373d055,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,31.092311083048116,5.720450958688095e-05,1.839828163113597e-06,1.0132,0.0,3.0,1.127303141849822e-05,4.913007209371974e-05,2.0532434131697906e-05,8.093553764391588e-05,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
2025-10-09T12:03:21,codecarbon,5ac4a307-3a0c-486b-964d-ff895fb4af57,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.74529870797414,5.712508888027608e-05,1.7445279516221049e-06,0.9345,0.0038,3.0,6.940805006236163e-06,5.189308360826838e-05,2.198928100745737e-05,8.082316962196191e-05,Saudi Arabia,SAU,riyadh region,,,macOS-15.6.1-arm64-arm-64bit-Mach-O,3.13.5,3.0.7,8,Apple M3,1,Apple M3,46.7224,24.6869,16.0,machine,N,1.0
